film,date,year,kp_rating,imdb_rating,bt_usd_2010,fee_usd_2010,fee_abroad_usd_2010,return_usd_2010,revenew_usd_2010,perc,theme,genre_1,genre_2,genre_3
12 месяцев. Новая сказка,19.02.2015,2015,3.77,5.7,3732069,456577,,228288,-3503781,6.12,сказка,семейный,фэнтези,
14+,08.10.2015,2015,6.64,6.9,,161986,,80993,,,любовь,мелодрама,,
1812: Уланская баллада,01.11.2012,2012,2.65,2.4,4782565,1187989,,593994,-4188571,12.42,любовь,приключения,,
2 дня,08.09.2011,2011,7.08,,1675113,598554,,299277,-1375836,17.87,любовь,комедия,драма,мелодрама
30 свиданий,04.02.2016,2016,5.24,5,913827,1543845,,771922,-141905,84.47,любовь,комедия,мелодрама,
7 главных желаний,05.12.2013,2013,1.57,2.7,,455173,,227586,,,любовь,мелодрама,комедия,
72 часа,05.05.2016,2016,7.25,6.2,,142298,,71149,,,героизм,военный,драма,
8 новых свиданий,01.01.2015,2015,5.97,5.6,2145940,6935407,,3467703,1321763,161.59,семейные ценности,комедия,,
Pro любовь,11.08.2015,2015,6.55,6.6,,702342,,351171,,,любовь,комедия,,
Weekend (Уик-энд),16.10.2014,2014,6.2,6,515212,78232,,39116,-476096,7.59,криминал,драма,криминал,детектив
А зори здесь тихие…,30.04.2015,2015,6.99,6.5,3281743,4897618,,2448809,-832934,74.62,героизм,драма,,
Август. Восьмого,22.02.2012,2012,6.07,5.8,18173748,9507903,,4753951,-13419797,26.16,героизм,военный,драма,
Бармен,18.06.2015,2015,6.44,5.5,895020,1237238,,618619,-276401,69.12,борьба с обстоятельствами,комедия,фэнтези,
Батальонъ,20.02.2015,2015,7.17,6.5,9330174,8306834,,4153417,-5176757,44.52,героизм,драма,военный,история
Без границ,22.10.2015,2015,6.77,6,,2919884,,1459942,,,любовь,мелодрама,комедия,
Белый тигр,03.05.2012,2012,5.52,6.1,5834729,3278583,,1639291,-4195438,28.1,война,военный,,
Битва за Севастополь,02.04.2015,2015,7.55,7.2,1849709,8119373,,4059686,2209977,219.48,героизм,военный,мелодрама,драма
"БЛИЖЕ, ЧЕМ КАЖЕТСЯ.",25.02.2016,2016,6.06,,,339,,169,,,семья,семейный,,
Богатырша,01.01.2016,2016,2.78,3.5,2467333,722082,,361041,-2106292,14.63,история,мультфильм,,
Бой с тенью 3D: Последний раунд,17.11.2011,2011,6.36,6.1,4859086,13260987,,6630493,1771407,136.46,сила и воля человека,боевик,приключения,драма
Бременские разбойники,10.11.2016,2016,3.04,,,552655,,276327,,,сила и воля человека,мультфильм,комедия,приключения
Бресткая крепость,22.06.2010,2010,7.96,7.5,8301369,4404729,,2202364,-6099005,26.53,героизм,драма,военный,
"Быстрее, чем кролики",01.01.2014,2014,6.09,6.2,2810248,5038746,,2519373,-290875,89.65,отношения,комедия,,
Василиса,04.12.2014,2014,5.71,4.5,6557246,282842,,141421,-6415825,2.16,любовь,история,мелодрама,
Веселые ребята,30.08.2014,2014,3.89,4.7,2435548,141194,,70597,-2364951,2.9,друзья,комедия,,
Взломать блогеров,10.11.2016,2016,1.02,1.6,491653,109509,,54754,-436899,11.14,молодёжь, мультфильм,комедия,семейный
Воин,01.10.2015,2015,2.9,2.3,1715456,3111779,,1555889,-159567,90.7,сила и воля человека,спорт,драма,
Война полов,22.10.2015,2015,3.19,3.2,1866034,176707,,88353,-1777681,4.73,отношения,комедия,,
