name,genre,year
"""#Yaprava"" (2013)",Talk-Show,2013.0
"""'Alibi' na dvoikh"" (2011)",Crime,2011.0
"""'Kedr' pronzaet nebo"" (2011)",Drama,2011.0
"""10 druzey Krolika"" (2014)",Animation,2014.0
"""12 s polovinoy kresel ili Vsyo naoborot"" (1996)",Comedy,1996.0
"""13"" (2014)",Mystery,2014.0
"""1812"" (2012)",Adventure,2012.0
"""1812"" (2012)",Documentary,2012.0
"""1812"" (2012)",Drama,2012.0
"""1812"" (2012)",History,2012.0
"""1812-1815. Zagranichnyy pokhod"" (????)",History,
"""1941"" (2009)",War,2009.0
"""1942"" (2011)",War,2011.0
"""24 kadra"" (2013)",Documentary,2013.0
"""3 bogatyrya"" (2002)",Comedy,2002.0
"""6 kadrov"" (2006)",Comedy,2006.0
"""9 Maya. Lichnoe otnoshenie"" (2008)",War,2008.0
"""9 mesyatsev"" (2006)",Family,2006.0
"""9 otdel"" (2010)",Crime,2010.0
"""A zori zdes tikhie"" (2005)",Drama,2005.0
"""A zori zdes tikhie"" (2005)",War,2005.0
"""A. Pushkin. 'Evgeniy Onegin'"" (2008)",Documentary,2008.0
"""Aby Cho"" (2015)",Drama,2015.0
"""Aby Cho"" (2015)",History,2015.0
"""Admiral"" (2009)",Drama,2009.0
"""Admiral"" (2009)",History,2009.0
"""Admiral"" (2009)",Romance,2009.0
"""Admiral"" (2009)",War,2009.0
"""Adrenalin: Odin protiv vsekh"" (2008)",Crime,2008.0
"""Advokat"" (2004)",Crime,2004.0
"""Advokat"" (2004) {Alibi dlya korolevy (#1.1)}",Crime,2004.0
"""Advokat"" (2004) {Alibi dlya korolevy (#1.1)}",Drama,2004.0
"""Advokat"" (2004) {Alibi dlya korolevy (#1.1)}",Mystery,2004.0
"""Advokat"" (2004) {Boy bez pravil (#1.3)}",Crime,2004.0
"""Advokat"" (2004) {Boy bez pravil (#1.3)}",Drama,2004.0
