name,year
"""#Studenty"" (2014)",2014
"""#Yaprava"" (2013)",2013
"""'Alibi' na dvoikh"" (2011)",2011
"""'Kedr' pronzaet nebo"" (2011)",2011
"""+100500"" (2011)",2011
"""10 druzey Krolika"" (2014)",2014
"""12 s polovinoy kresel ili Vsyo naoborot"" (1996)",1996
"""13"" (2014)",2014
"""1812"" (2012)",2012
"""1812-1815. Zagranichnyy pokhod"" (????)",
"""1941"" (2009)",2009
"""1942"" (2011)",2011
"""1943"" (2013)",2013
"""20 let bez lyubvi"" (2011)",2011
"""24 kadra"" (2013)",2013
"""3 bogatyrya"" (2002)",2002
"""3 mushketera"" (2013)",2013
"""33 kvadratnykh metra"" (1998)",1998
"""5 chuvst"" (2013)",2013
"""6 kadrov"" (2006)",2006
"""9 Maya. Lichnoe otnoshenie"" (2008)",2008
"""9 mesyatsev"" (2006)",2006
"""9 otdel"" (2010)",2010
"""A nu-ka, dachniki"" (2005)",2005
"""A schaste gde-to ryadom"" (2011)",2011
"""A zori zdes tikhie"" (2005)",2005
"""A. Pushkin. 'Evgeniy Onegin'"" (2008)",2008
"""ANB. Chast vtoraya"" (2000)",2000
"""Aby Cho"" (2015)",2015
"""Admiral"" (2009)",2009
"""Adrenalin"" (2008)",2008
"""Adrenalin: Odin protiv vsekh"" (2008)",2008
"""Advokat"" (2004)",2004
"""Advokat"" (2004) {Alibi dlya korolevy (#1.1)}",2004
"""Advokat"" (2004) {Avariya (#2.4)}",2004
"""Advokat"" (2004) {Blef (#3.9)}",2004
"""Advokat"" (2004) {Boy bez pravil (#1.3)}",2004
"""Advokat"" (2004) {Delo prostykh lyudey (#1.6)}",2004
"""Advokat"" (2004) {Detskiye igri (#3.12)}",2004
"""Advokat"" (2004) {Dezertir (#2.1)}",2004
"""Advokat"" (2004) {Glavnaya role (#2.7)}",2004
"""Advokat"" (2004) {Golos razuma (#2.10)}",2004
"""Advokat"" (2004) {Isklucheniya iz pravil (#3.7)}",2004
"""Advokat"" (2004) {Istoriya bolezni (#3.4)}",2004
"""Advokat"" (2004) {Krovavyy sport (#4.6)}",2004
"""Advokat"" (2004) {Loge (#3.3)}",2004
"""Advokat"" (2004) {Longlife (#1.5)}",2004
"""Advokat"" (2004) {Lyubovnik (#4.3)}",2004
"""Advokat"" (2004) {Lyubovnyy kvadrat (#2.8)}",2004
"""Advokat"" (2004) {Mstitel (#2.11)}",2004
"""Advokat"" (2004) {Oborotni (#2.5)}",2004
"""Advokat"" (2004) {Pagubnaya strast' (#4.2)}",2004
"""Advokat"" (2004) {Pobeg (#1.2)}",2004
"""Advokat"" (2004) {Posledniy shans (#3.11)}",2004
"""Advokat"" (2004) {Postupok (#2.2)}",2004
"""Advokat"" (2004) {Priznanie (#1.4)}",2004
"""Advokat"" (2004) {Rabota nad oshibkami (#4.4)}",2004
"""Advokat"" (2004) {Radi lyubvi (#3.8)}",2004
"""Advokat"" (2004) {Rokovoye vlecheniye (#3.2)}",2004
"""Advokat"" (2004) {Smiagchayuschee obstoyatelstvo (#3.5)}",2004
"""Advokat"" (2004) {Sud sovesti (#3.10)}",2004
"""Advokat"" (2004) {Svidetel (#2.6)}",2004
"""Advokat"" (2004) {Temnaya komnata (#2.9)}",2004
"""Advokat"" (2004) {Tochki nad i (#2.3)}",2004
"""Advokat"" (2004) {Ugovor dorozhe deneg (#4.5)}",2004
"""Advokat"" (2004) {Virazhi sudby (#3.6)}",2004
"""Advokat"" (2004) {Vyigrysh (#4.1)}",2004
"""Advokat. Prodolzhenie"" (2017)",2017
"""Adyutanty lyubvi"" (2005)",2005
"""Aeroport 2"" (2006)",2006
"""Aeroport"" (2005)",2005
"""Afganskiy prizrak"" (2008)",2008
"""Afinskaya shkola"" (2009)",2009
"""Afromoskvich"" (2004)",2004
"""Agenstvo"" (2003)",2003
"""Agent NB 3"" (2001)",2001
"""Agent nats bezopasnosti pyat"" (2004)",2004
"""Agent natsionalnoy bezopasnosti chetyre"" (2003)",2003
"""Agent natsionalnoy bezopasnosti"" (1999)",1999
"""Agent osobogo naznachenia"" (2010)",2010
"""Agent"" (2013)",2013
"""Agentstvo NLS - 2"" (2003)",2003
"""Agentstvo NLS"" (2001)",2001
"""Agentstvo Zolotaya pulya"" (2002)",2002
"""Agoniya strakha"" (2007)",2007
"""Ahtung, Russish!"" (2012)",2012
"""Akademiya krasoty s Lyaysan Utyashevoy"" (2011)",2011
"""Akademiya"" (2015)",2015
"""Alaska Kid"" (1993)",1993
"""Aleksandrovskiy sad 2. Gibel komandy"" (2007)",2007
"""Aleksandrovskiy sad 3. Okhota na Beriyu"" (2008)",2008
"""Aleksandrovskiy sad"" (2005)",2005
"""Alisa znaet, chto delat!"" (2013)",2013
"""Alka"" (2006)",2006
"""Almazy na desert"" (2006)",2006
"""Altar Pobedy"" (2009)",2009
"""Amanda O"" (2010)",2010
"""Amazonki"" (2011)",2011
"""And Quiet Flows the Don"" (2006)",2006
"""Andrey Bitov. Shag v storonu ot obshego potoka"" (2008)",2008
"""Anechka"" (2013)",2013
"""Angel ili demon"" (2013)",2013
"""Angel na dorogakh"" (2004)",2004
"""Angel v serdtse"" (2012)",2012
"""Angel-khranitel"" (2007)",2007
"""Angliya v obshchem i v chastnosti"" (2014)",2014
"""Anka s Moldavanki"" (2015)",2015
"""Anna Detective"" (2016)",2016
"""Anna German"" (2012)",2012
"""Anna Karenina"" (2009)",2009
"""Anyutino schaste"" (2013)",2013
"""Anzhelika"" (2010)",2010
"""Anzhelika"" (2014)",2014
"""Apofegey"" (2013)",2013
"""Apokalipsis. Poslednie chisla Mayya"" (2012)",2012
