n_rates,rating,name,year
56,4.0,"""+100500"" (2011)",2011.0
14,6.9,"""1812"" (2012)",2012.0
19,7.2,"""1941"" (2009)",2009.0
9,8.2,"""1942"" (2011)",2011.0
5,4.6,"""3 bogatyrya"" (2002)",2002.0
51,5.6,"""33 kvadratnykh metra"" (1998)",1998.0
89,5.1,"""6 kadrov"" (2006)",2006.0
6,3.5,"""9 Maya. Lichnoe otnoshenie"" (2008)",2008.0
25,4.8,"""9 mesyatsev"" (2006)",2006.0
47,7.4,"""A zori zdes tikhie"" (2005)",2005.0
164,7.2,"""Admiral"" (2009)",2009.0
24,5.5,"""Advokat"" (2004)",2004.0
8,3.6,"""Advokat"" (2004) {Alibi dlya korolevy (#1.1)}",2004.0
9,3.7,"""Advokat"" (2004) {Boy bez pravil (#1.3)}",2004.0
10,5.8,"""Adyutanty lyubvi"" (2005)",2005.0
10,1.6,"""Aeroport"" (2005)",2005.0
13,6.4,"""Afganskiy prizrak"" (2008)",2008.0
9,4.6,"""Agenstvo"" (2003)",2003.0
104,6.0,"""Agent natsionalnoy bezopasnosti"" (1999)",1999.0
17,7.9,"""Agent osobogo naznachenia"" (2010)",2010.0
36,7.2,"""Agentstvo NLS - 2"" (2003)",2003.0
101,7.5,"""Agentstvo NLS"" (2001)",2001.0
48,7.3,"""Alaska Kid"" (1993)",1993.0
15,6.3,"""Aleksandrovskiy sad"" (2005)",2005.0
11,5.5,"""Alisa znaet, chto delat!"" (2013)",2013.0
6,3.3,"""Amanda O"" (2010)",2010.0
9,4.0,"""Amazonki"" (2011)",2011.0
388,5.1,"""And Quiet Flows the Don"" (2006)",2006.0
19,6.1,"""Angel ili demon"" (2013)",2013.0
6,5.5,"""Angel v serdtse"" (2012)",2012.0
18,7.3,"""Angliya v obshchem i v chastnosti"" (2014)",2014.0
75,8.3,"""Anna German"" (2012)",2012.0
125,6.4,"""Anna Karenina"" (2009)",2009.0
19,3.9,"""Anzhelika"" (2014)",2014.0
369,7.7,"""Apostol"" (2008)",2008.0
15,6.3,"""Atlantida"" (2007)",2007.0
25,8.1,"""Atomnyy les"" (2012)",2012.0
9,8.9,"""Audio Stories from Spike"" (2014)",2014.0
6,5.7,"""Azbuka lyubvi"" (1992)",1992.0
70,7.9,"""BadComedian"" (2011)",2011.0
